strategy,symbol,trades,wins,win_rate_pct,total_return_pct,avg_win_pct,avg_loss_pct,profit_factor,max_drawdown_pct,sharpe
momentum_breakout,360ONE,5,2,40.0,2.78,14.98,-6.15,1.55,1.92,5.67
momentum_breakout,ABB,4,2,50.0,4.0,12.58,-5.22,2.41,1.55,9.65
momentum_breakout,ACMESOLAR,4,2,50.0,4.0,17.68,-7.27,2.01,3.82,0.22
momentum_breakout,AIAENG,2,1,50.0,0.88,9.47,-7.24,1.51,1.73,-15.87
momentum_breakout,APLAPOLLO,8,3,37.5,1.44,10.09,-4.92,1.2,3.34,3.04
momentum_breakout,AUBANK,7,3,42.86,4.74,11.54,-4.37,1.88,1.57,6.03
momentum_breakout,AWL,2,0,0.0,-3.1,0,-5.24,0.0,1.86,-15.87
momentum_breakout,AADHARHFC,5,2,40.0,1.45,13.58,-7.1,1.25,3.81,4.34
momentum_breakout,AARTIIND,4,1,25.0,-4.91,2.78,-6.96,0.14,5.68,-27.41
momentum_breakout,AAVAS,4,1,25.0,-2.94,8.65,-6.8,0.45,1.93,-2.33
momentum_breakout,ABBOTINDIA,2,0,0.0,-2.59,0,-4.51,0.0,1.13,-15.87
momentum_breakout,ACE,3,0,0.0,-4.88,0,-6.24,0.0,3.82,-22.44
momentum_breakout,ACUTAAS,6,3,50.0,5.88,13.76,-7.74,2.0,1.82,7.95
momentum_breakout,ADANIENSOL,7,3,42.86,3.14,14.16,-7.49,1.42,7.49,-0.5
momentum_breakout,ADANIENT,3,1,33.33,-2.68,0.56,-4.88,0.06,2.84,-22.45
momentum_breakout,ADANIGREEN,5,1,20.0,-5.22,7.99,-6.76,0.28,7.24,-31.66
momentum_breakout,ADANIPORTS,4,3,75.0,6.38,8.74,-4.65,5.81,1.33,9.36
momentum_breakout,ADANIPOWER,6,5,83.33,14.8,12.22,-5.14,10.24,1.54,16.41
momentum_breakout,ATGL,3,1,33.33,-3.42,0.47,-6.0,0.03,3.52,-22.3
momentum_breakout,ABCAPITAL,4,3,75.0,8.78,11.94,-5.53,5.79,0.0,26.48
momentum_breakout,ABFRL,2,0,0.0,-3.83,0,-6.55,0.0,1.84,-15.87
momentum_breakout,ABREL,4,1,25.0,-2.14,17.04,-8.17,0.62,1.97,-0.35
momentum_breakout,ABSLAMC,6,2,33.33,0.01,14.07,-7.12,1.0,3.92,2.17
momentum_breakout,CPPLUS,4,2,50.0,2.88,15.63,-7.65,1.75,3.82,0.45
momentum_breakout,AEGISLOG,5,0,0.0,-9.87,0,-9.06,0.0,7.88,-31.71
momentum_breakout,AEGISVOPAK,1,0,0.0,-2.0,0,-7.93,0.0,0.0,0.0
momentum_breakout,AFCONS,1,0,0.0,-1.46,0,-4.95,0.0,0.0,0.0
momentum_breakout,AFFLE,5,1,20.0,-3.63,14.89,-6.9,0.51,3.87,-2.7
momentum_breakout,AJANTPHARM,5,3,60.0,5.79,10.38,-6.43,2.74,1.72,4.4
momentum_breakout,ALKEM,5,2,40.0,1.49,10.22,-5.09,1.37,2.54,-1.94
momentum_breakout,ABDL,7,4,57.14,9.92,14.29,-6.6,2.67,1.91,10.22
momentum_breakout,ARE&M,2,0,0.0,-3.08,0,-5.28,0.0,1.71,-15.87
momentum_breakout,AMBER,10,3,30.0,-1.55,15.37,-7.45,0.87,3.89,-0.01
momentum_breakout,AMBUJACEM,2,1,50.0,1.44,8.5,-3.61,2.32,0.0,15.87
momentum_breakout,ANANDRATHI,8,4,50.0,6.74,12.06,-6.13,1.97,3.68,2.92
momentum_breakout,ANANTRAJ,8,3,37.5,1.96,15.49,-7.91,1.2,5.68,-1.37
momentum_breakout,ANGELONE,6,2,33.33,0.18,16.39,-7.72,1.02,3.99,-4.35
momentum_breakout,ANTHEM,1,1,100.0,3.94,13.26,0,0,0.0,0.0
momentum_breakout,ANURAS,4,3,75.0,9.24,15.23,-9.97,5.71,1.96,9.15
momentum_breakout,APARINDS,10,2,20.0,-5.86,14.03,-7.38,0.53,7.65,-3.08
momentum_breakout,APOLLOHOSP,7,2,28.57,-1.24,7.52,-3.89,0.76,2.37,-0.73
momentum_breakout,APOLLOTYRE,3,1,33.33,-0.13,10.16,-5.18,0.96,3.08,-22.05
momentum_breakout,APTUS,2,2,100.0,7.57,12.44,0,0,0.0,15.87
momentum_breakout,ASAHIINDIA,5,2,40.0,1.96,13.69,-6.9,1.34,3.79,4.77
momentum_breakout,ASHOKLEY,7,5,71.43,12.14,9.84,-5.03,5.06,2.99,9.58
momentum_breakout,ASIANPAINT,8,2,25.0,-2.45,7.47,-3.83,0.63,4.43,-1.82
momentum_breakout,ASTERDM,9,4,44.44,6.91,13.37,-5.84,1.79,3.6,5.23
