symbol,company_name,sector,isin,dhan_security_id,lot_size,tick_size,yfinance_symbol
360ONE,360 ONE WAM Ltd.,Financial Services,INE466L01038,13061,1.0,5.0,360ONE.NS
3MINDIA,3M India Ltd.,Diversified,INE470A01017,474,1.0,500.0,3MINDIA.NS
ABB,ABB India Ltd.,Capital Goods,INE117A01022,13,1.0,50.0,ABB.NS
ACC,ACC Ltd.,Construction Materials,INE012A01025,22,1.0,10.0,ACC.NS
ACMESOLAR,ACME Solar Holdings Ltd.,Power,INE622W01025,27061,1.0,5.0,ACMESOLAR.NS
AIAENG,AIA Engineering Ltd.,Capital Goods,INE212H01026,13086,1.0,10.0,AIAENG.NS
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027,25780,1.0,10.0,APLAPOLLO.NS
AUBANK,AU Small Finance Bank Ltd.,Financial Services,INE949L01017,21238,1.0,5.0,AUBANK.NS
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024,8110,1.0,1.0,AWL.NS
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010,23729,1.0,5.0,AADHARHFC.NS
AARTIIND,Aarti Industries Ltd.,Chemicals,INE769A01020,7,1.0,5.0,AARTIIND.NS
AAVAS,Aavas Financiers Ltd.,Financial Services,INE216P01012,5385,1.0,10.0,AAVAS.NS
ABBOTINDIA,Abbott India Ltd.,Healthcare,INE358A01014,17903,1.0,500.0,ABBOTINDIA.NS
ACE,Action Construction Equipment Ltd.,Capital Goods,INE731H01025,13587,1.0,5.0,ACE.NS
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025,5578,1.0,10.0,ACUTAAS.NS
ADANIENSOL,Adani Energy Solutions Ltd.,Power,INE931S01010,10217,1.0,5.0,ADANIENSOL.NS
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024,25,1.0,10.0,ADANIENT.NS
ADANIGREEN,Adani Green Energy Ltd.,Power,INE364U01010,3563,1.0,5.0,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042,15083,1.0,10.0,ADANIPORTS.NS
ADANIPOWER,Adani Power Ltd.,Power,INE814H01029,17388,1.0,1.0,ADANIPOWER.NS
